node_69
node_0, 8409.60, 1628.80, 7427.20, 7603.20, 5968.00, 2230.40, 1478.40, bomba, 544.00, 4790.40, 8355.20, 900.60, 3027.20, 8470.40, 3958.40, 5041.60, 697.60, 9203.20, 7811.20, 6681.60, 4272.00, 1786.20, 9939.20, 5110.40, 8396.80, bomba, 4764.80, 6979.20, 1299.20, 1347.20, 6761.60, 9251.20, 4691.20, 7212.80, bomba, 9561.60, 6070.40, 201.60, 8246.40, 9760.00, 8496.00, 5036.80, 5753.60, 4331.20, 7465.60, 3945.60, 2073.60, 3318.40, 4930.80, 908.80, 6064.00, 7929.60, 3447.20, 1419.20, 5078.40, 8342.40, 8486.40, 115.20, 7027.20, 2934.40, 121.60, 1993.60, 1712.00, 585.60, bomba, 1760.00, 5222.40, 5680.00, 9449.60, 2008.00, 9913.60, 1379.20, 7000.80, 4281.60, 7577.60, 163.20, 5731.20, 1536.00, 9104.00, 7368.00, 8521.60, 8492.80, 448.00, 4060.80, bomba, 7705.60, bomba, 4486.40, 2217.60, 720.00, 9247.20, 9129.60, 4668.80, 4064.00, 7692.80, 352.00, 2192.00, 3232.00, 7923.20
node_1, 8409.60, 4179.20, 4988.80, 176.00, 2604.80, 1363.20, 6688.00, 9520.00, 4595.20, 2550.40, 2595.20, 6313.60, 1318.40, 9772.80, bomba, 6163.20, 1926.40, 2432.00, 5488.00, 3232.00, 2175.20, 6182.40, 6668.80, bomba, 5993.60, 3804.80, 8876.80, 2134.40, 8419.20, 5340.80, 8182.40, 7193.60, 5110.40, 8656.00, 5516.80, 320.00, 9747.20, 8192.00, 5460.80, 956.80, 8521.60, 3299.20, 6521.60, 9228.80, 624.00, 3801.60, 7696.00, 544.00, 5528.00, 6670.40, 6003.20, 371.20, 5116.80, 3804.80, 8096.00, 3664.00, 1158.40, 5644.80, 5667.20, bomba, 1078.40, 8364.80, bomba, 6487.60, 3030.40, 528.00, 150.40, 4774.40, 2720.00, 9107.20, 4976.00, 9065.60, 2998.40, 5452.80, 2857.60, bomba, bomba, 5977.60, 8771.20, 1209.60, 5622.40, bomba, 5907.20, bomba, 9107.20, bomba, 9452.80, 3491.20, 1408.00, 4387.20, 294.40, 9836.80, 2476.80, 3075.20, 9913.60, 4700.80, 9292.80, 2950.40, 7696.00
node_2, 1628.80, 4179.20, 8720.80, 3929.60, 2518.40, 6496.00, 9104.00, 6588.80, 3801.60, 7740.80, 8227.20, 1088.00, 3100.80, 8851.20, 8172.80, 8240.00, 8230.40, 3270.40, 4377.60, 25.60, 3852.80, 4540.80, 7689.60, 8089.60, 9654.40, bomba, 9308.80, 2456.00, 2099.20, 3484.80, 4349.80, 6300.80, 2573.20, 9536.00, 41.60, bomba, 9340.80, 128.00, 2790.40, 1779.20, 7305.60, 3605.60, bomba, 672.00, 9004.80, 8553.60, bomba, 5932.80, 6054.40, 316.80, 8294.40, 3260.80, 9084.80, 7942.40, 3241.60, 7590.40, 1529.60, 8812.80, 7264.00, 9446.40, 8536.40, 1251.20, 4476.80, 2684.80, 5923.20, 9897.60, 2067.20, 5142.40, 9830.40, 6284.80, 4448.00, 6902.40, 6716.80, 2046.40, 89.60, bomba, 1116.80, 7955.20, 3584.00, 9395.20, 6918.40, 7001.60, 5715.20, 3401.60, 6864.00, 1894.40, bomba, 553.60, bomba, 806.40, 5718.40, 6496.00, 707.20, 4076.80, 8364.80, 8697.60, 6028.80, 5900.80, 9478.40
node_3, 7427.20, 4988.80, 8720.80, 566.40, 624.00, 2546.10, 2899.20, bomba, 7331.20, 179.20, 9414.40, 1526.40, 4395.20, 9318.40, 2329.60, 8044.80, 5344.00, 1734.40, 6521.60, 4425.60, 6403.20, 6259.20, 70.40, 1612.80, 4032.00, 3708.80, 102.40, 6838.40, 4102.40, 7257.60, 7437.60, 6422.40, 2524.80, bomba, 2108.80, 7827.20, bomba, 9449.60, 4646.40, 1372.80, 4483.20, 5382.40, 3587.20, 9084.80, bomba, 5753.60, 4915.20, 3504.00, 1974.40, 8124.80, bomba, 5852.80, 1673.60, bomba, 7987.20, 8256.00, 739.20, 8704.00, 9129.60, 5280.00, 9036.80, 3132.80, 6476.80, 4662.40, 9385.60, 5792.00, 2001.60, 6102.40, 8582.40, 3254.40, 1148.80, 2316.80, 6771.20, 1117.60, 2080.00, 1584.00, 704.00, 8334.40, 2990.40, 8902.40, 7417.60, 1430.40, 9616.00, 4726.40, 4652.80, 9667.20, 1113.60, 960.00, 6275.20, 8700.80, 115.20, 2736.00, 5004.80, 1270.40, 4064.00, 1996.80, 8150.40, 2537.60, 2592.00
node_4, 7603.20, 176.00, 3929.60, 566.40, 9235.20, 6873.60, 6323.20, 2521.60, 9155.20, 2614.40, 416.00, 8140.80, 6812.80, 4220.80, 4412.80, 1526.40, 3043.20, 1475.20, 720.00, 4467.20, 4588.80, 2121.60, 2608.00, 1446.40, 6704.00, 1260.80, 53.80, 1907.20, 5830.40, 8214.40, 7683.20, 8288.00, 2700.80, 7923.20, 7107.20, 6646.40, 8647.50, 4236.80, 6668.80, 3027.20, 1379.20, 2131.20, 6966.40, 9929.60, 1798.40, 4675.20, 9526.40, 1836.80, 5996.80, 8918.40, 7068.80, 6428.80, 5948.80, 6966.40, 7984.00, 7625.60, 7552.00, 2425.60, bomba, 8950.40, bomba, 8352.00, 9858.40, 5516.80, 3219.20, 595.20, 1628.80, 7648.00, 960.00, 3478.40, bomba, 1558.40, 4134.40, 3225.60, bomba, 8435.20, 9081.60, bomba, 249.60, 4800.00, 4985.60, 7036.80, 5676.80, 5840.00, 2563.20, 8844.80, 3689.60, 9161.60, bomba, 9030.40, 7846.40, 7382.40, 5897.60, 5862.40, 2963.20, 1257.60, bomba, 4572.80, 6243.20
node_5, 5968.00, 2604.80, 2518.40, 624.00, 9235.20, 3270.40, 2988.80, 889.60, 4156.80, 6139.20, 5708.80, 7462.40, 4278.40, bomba, 8896.00, 7958.40, 268.80, bomba, bomba, bomba, 9680.00, 7465.60, 4876.80, 985.60, 35.20, 857.60, 3932.80, 934.40, 6435.20, 22.40, bomba, 8816.00, 464.00, 5798.40, 7891.20, bomba, bomba, 3523.20, 9001.60, 336.00, 3273.60, 8051.20, 2787.20, 7056.00, 5312.00, 6185.60, 6700.80, 5810.00, 6889.60, 1686.40, 6902.40, 5638.40, 3872.00, 6256.00, 5315.20, 5180.80, 1056.00, 9075.20, 7129.60, 3072.00, 4848.00, 3680.00, 5900.80, 1984.00, 2729.60, 841.60, 8537.60, 4585.60, 5648.00, bomba, 710.40, 2822.40, bomba, 7251.20, 9657.60, 1436.80, 2848.00, 9328.00, 6236.80, 4796.80, 4985.60, 1862.40, 2128.00, 7555.20, 566.40, 1996.80, 1473.60, 3043.20, 8352.00, bomba, 3886.40, 4156.80, 7251.20, 7113.60, 6438.40, 5718.40, 9196.80, 8204.80, 7292.80
node_6, 2230.40, 1363.20, 6496.00, 2546.10, 6873.60, 3270.40, 3988.80, 3516.80, 9136.00, 809.60, 6697.60, 5740.80, 8806.40, 7900.80, 8003.20, 9734.40, 3539.20, 307.20, 854.40, 96.00, 4086.40, 6460.80, 6883.20, 5696.00, bomba, 1468.80, 7305.60, 2316.80, 118.40, 2358.40, 281.60, 4876.80, 1523.20, 6346.40, 6323.20, 1436.80, 5468.80, bomba, 1150.40, 1641.60, bomba, 4304.00, bomba, 630.40, 115.20, 1833.60, 9974.40, 5852.80, 3536.00, 5516.80, 280.00, 3532.80, 8134.40, 9737.60, 2732.80, 8662.40, 6124.80, 2835.20, 1222.40, 5068.80, 1353.60, 3376.00, 6889.60, 4467.20, 3059.20, 1913.60, 8579.20, 726.40, 2368.00, 7628.80, 3465.60, 5040.00, 886.40, 2576.00, 4611.20, 5081.60, 7824.00, 8928.00, 944.00, 5139.20, 5016.80, 8985.60, 5782.40, 1936.00, 1804.80, bomba, 9113.60, 8144.00, 1065.60, 3731.20, 1635.20, 4912.00, 540.80, 5814.40, 8876.80, 8758.40, bomba, 9121.60, 9091.20
node_7, 1478.40, 6688.00, 9104.00, 2899.20, 6323.20, 2988.80, 3988.80, 8494.40, 3884.80, 9443.20, 6569.60, 4620.80, 1571.20, 8230.40, 441.60, 5948.80, 8624.00, 5731.20, 4358.40, 1392.00, 3875.20, 5990.40, 3203.20, 5484.80, 9484.80, 1708.80, 4150.40, 8611.20, 6329.60, 3846.40, 1620.80, 1017.60, 1558.40, 9379.20, 2880.00, 6464.00, 4556.80, 1344.00, 198.40, 8118.40, 5033.60, 9017.60, 7804.80, 8176.00, 6112.00, 4182.40, 3459.20, 7974.40, 5220.80, 5840.00, 1395.20, 6476.80, 6393.60, 5353.60, 9555.20, 9539.20, 4947.20, 7040.00, 7830.40, 1792.00, 518.40, 3305.60, 4438.40, 636.80, 1907.20, 9398.40, 409.60, 9254.40, 8596.80, 8289.60, 1352.00, 4374.40, 8028.80, 2320.00, 8272.00, 3072.00, 3353.60, 4403.20, 940.80, 9094.40, 4774.40, 7785.60, 5996.80, 6892.80, 4924.80, 4384.00, 3014.40, 4195.20, 1804.80, 179.20, 2262.40, 496.00, 1270.40, 5049.60, 3209.60, 6694.40, 4278.40, 6438.40, 3148.80
node_8, bomba, 9520.00, 6588.80, bomba, 2521.60, 889.60, 3516.80, 8494.40, 8144.00, 153.60, 7612.80, 2915.20, 5849.60, 9964.80, 8073.60, 915.20, 1116.80, 6748.80, 6035.20, 3589.40, 9574.40, 8838.40, 9776.00, 992.00, 3328.00, 3721.60, 5942.40, 4384.00, 2995.20, 1088.00, 9846.40, 2921.60, 5829.60, 406.40, 9635.20, 4598.40, 1865.60, 8492.80, 7052.80, 4473.60, 2256.00, 2963.20, 4838.40, 3248.00, 4966.40, 2179.20, 7980.80, 9059.20, 4780.80, 5680.00, 5100.80, 8515.20, 5334.40, 3513.60, 8118.40, 6044.80, 6185.60, 1830.40, 9619.20, 2121.60, 2694.40, 4310.40, 2684.80, 6122.40, 6105.60, 6772.80, 3705.60, 1440.00, 2291.20, 4697.60, 2944.00, 4041.60, 3020.80, 3414.40, 4233.60, 2129.60, 3116.80, 9225.60, 1446.40, 6537.60, 8790.40, bomba, 8592.00, 4806.40, 8416.00, 4576.00, 3523.20, 3753.60, 9399.10, 2441.60, 4345.60, 3817.60, 2649.60, 6544.00, 1676.80, 4912.00, 6384.00, 6227.20, 2022.40
node_9, 544.00, 4595.20, 3801.60, 7331.20, 9155.20, 4156.80, 9136.00, 3884.80, 8144.00, 9142.40, 3804.80, 5068.80, 5606.40, 7123.20, 5987.20, 265.60, 7414.40, 1078.40, 403.20, 5788.80, 697.60, 4179.20, 902.40, 5347.20, 3072.00, 5001.60, 1478.40, bomba, 8892.80, 3728.00, 5792.00, 8496.00, 1344.00, 4912.00, 7200.00, 5465.60, 6316.80, 8262.40, bomba, 140.80, 9747.20, 1632.00, 6848.00, 1580.80, bomba, 3891.20, 4196.80, 5955.20, 5238.80, 8921.60, 4851.20, 3606.40, 5664.00, 25.60, 8756.80, 2108.80, 8585.60, 2992.00, 4451.20, 2809.60, 3145.60, 886.40, 2371.20, 4517.20, 979.20, 1683.20, 1096.00, bomba, 435.20, 5740.80, 2099.20, 9328.00, 6483.20, 7753.60, 8528.00, 2348.80, 547.20, 9020.80, 3334.40, 2156.80, 8608.00, 3420.80, 2406.40, 8102.40, 3990.40, 2038.40, 6598.00, 44.80, 5321.60, 5657.60, 9996.80, 7160.00, 4505.60, 6732.80, 1347.20, 5424.00, 6003.20, 9660.80, 4171.20
