node_54
node_0, 6748.80, 2035.20, 8387.20, 7174.40, 2118.40, 326.40, 2886.40, 192.00, 7209.60, 576.00, 838.40, 6201.60, 214.40, 6160.00, 7564.80, 6387.20, 3334.40, 5990.40, bomba, 9974.40, 5662.40, 8934.40, 6297.60, 6707.20, 5718.40, 1488.00, 1465.60, 2476.80, 5756.80, 1289.60, 4736.00, 905.60, 9372.80, 1427.20, 3332.80, 5155.20, 4979.20, 7545.60, 4838.40, 6412.80, 3171.20, 377.60, 7219.20, 9588.80, 3126.40, 9577.60, 188.80, 7568.00, 646.40, 764.80, bomba, 2976.00, 1638.40, 9916.80, 6406.40, bomba, 7500.80, 5849.60, 5184.00, 972.80, 6307.20, 9449.60, 5931.20, 7702.40, 7648.00, 550.40, 7644.80, 9968.00, 5683.20, 7388.80, 9491.20, 3289.60, 13.60, 3347.20, bomba, 6772.80, 9763.20, 2297.60, 4870.40, 2265.60, 1724.80, 3846.40, 9619.20, 281.60, 6969.60, 659.20, 7000.00, 6719.60, 4726.40, 2208.00, 7641.60, 6739.20, 6835.20, 4736.00, 2304.00, 5865.60, 3100.80, 5030.40, 6803.20
node_1, 6748.80, 1292.80, 4617.60, 3504.00, 7539.20, bomba, 1920.00, 4854.40, 3091.20, 8601.60, 3902.40, 1632.00, 5241.60, 1868.80, 480.00, 4323.20, bomba, 4320.00, 9200.00, bomba, 8038.40, 646.40, 4460.80, 1155.20, 364.80, 7478.40, 8000.00, 473.60, 1516.80, 3225.60, 876.80, 918.40, 6435.20, 4816.00, 4691.20, 4012.80, 8518.40, 5971.20, 3428.80, 2166.40, 160.00, 9683.20, 3660.80, 3040.00, 5763.20, 8803.20, 7084.80, 2979.20, 6588.80, 790.40, bomba, 7286.40, 1097.60, 723.20, 2025.60, 9952.00, 5804.80, bomba, 1420.80, 7896.00, 6192.00, 5459.20, 8051.20, 8419.20, 9510.40, 9184.00, 5660.80, 4862.40, 1369.60, 2921.60, 1748.00, 8838.40, 4144.00, 272.00, 2380.80, 6025.60, 4873.60, 3484.80, 3200.00, 2464.00, 4396.80, 1459.20, 1401.60, 73.60, 3545.60, 1056.00, 9132.80, 4475.20, 5609.60, 2112.00, 2915.20, 8211.20, 2905.60, 3971.20, 8508.80, 444.80, 1361.60, 6224.00, 9862.40
node_2, 2035.20, 1292.80, 8795.20, 2569.60, 8700.80, 1376.00, 9884.80, 7923.20, 6624.00, 3417.60, 1884.80, 1436.80, 4057.60, bomba, 4480.00, 9683.20, 9689.60, 278.40, 2960.00, 9973.60, 7814.40, 8099.20, 9977.60, 2966.40, 131.20, 4704.00, 4342.40, 1155.20, 7718.40, 6172.80, 3657.60, 6185.60, 7043.20, 5113.90, 940.80, 4928.00, 6435.20, 9724.80, 684.80, 4649.60, 2345.60, 6102.40, 8777.60, 8364.80, 3987.20, 342.40, bomba, 2633.60, 4627.20, 2345.60, 2832.00, 7593.60, 3571.20, 7324.80, 3276.80, 8329.60, 4611.20, 3955.20, 1696.00, 1532.80, 121.60, 4956.80, 1667.20, 4518.40, 8604.80, 3510.40, 7408.00, 3993.60, 44.80, bomba, 8192.00, 588.80, 2902.40, 7833.60, 121.60, 3545.60, 4499.20, 5675.20, 9363.20, 5744.00, 320.00, 2688.00, bomba, 1982.40, 2892.80, 8630.40, 8952.00, 5536.00, 5392.00, 8083.20, 5993.60, 5753.60, 1766.40, 1564.80, 3254.40, 2380.80, 8185.60, 4579.20, 6643.20
node_3, 8387.20, 4617.60, 8795.20, 5475.20, 7046.40, 3904.00, 4963.20, 9491.20, 7705.60, 5872.00, 838.40, 7452.80, 6329.60, 7017.60, 7955.20, 6441.60, 7724.80, 1228.80, 9225.60, 7187.20, 4086.40, 3907.20, 3801.60, 1043.20, 4240.00, 8475.20, 1817.60, 969.60, 8217.60, 1014.40, 646.40, 5590.40, 1753.60, 6019.20, 6800.00, 8873.60, 9220.00, 1574.40, 9449.60, 6169.60, 1158.40, 2040.00, 3844.80, 6034.40, 2630.40, bomba, 7776.00, 3283.20, 5561.60, 2137.60, 5792.00, 4883.20, 7068.80, 9673.60, 713.60, 3468.80, 3766.40, 8128.00, 150.40, 1312.00, 2848.00, 6054.40, 9910.40, bomba, 1923.20, 1116.80, 8199.00, 6006.40, 4096.00, 5052.80, 6441.60, bomba, 7292.80, 9462.40, 3891.20, 1852.80, 5217.60, 8985.60, 528.00, 3881.60, 6323.20, 3436.80, 4268.80, 1417.60, 8393.60, 6454.40, 8249.60, 6684.80, 6147.20, 6256.00, 185.60, 8403.20, 9286.40, 2169.60, 9795.20, 5523.20, 2684.80, 3904.00, 1680.00
node_4, 7174.40, 3504.00, 2569.60, 5475.20, 8595.20, 5056.00, 6550.40, 3104.00, 2115.20, 2652.80, 9289.60, 9750.40, 9881.60, 6716.80, 2115.20, 9744.00, 5900.80, 9875.20, 2656.00, 6755.20, 4905.60, 7932.80, 8388.80, 7974.40, 288.00, 2147.20, 6748.80, bomba, 2560.00, 320.00, 8656.00, 5596.80, 4131.20, 5990.40, 297.60, 9673.60, 7824.00, 9932.80, 272.00, 8348.80, 1813.60, 5030.40, 4030.40, 5200.00, 6060.80, 4540.80, 7212.80, 902.40, 7238.40, 1398.40, 4536.00, 6003.20, 313.60, 201.60, 5481.60, 4416.00, 9056.00, 5856.00, 6636.80, 2945.20, 8201.60, 9052.80, 9260.80, 41.60, 131.20, 7302.40, 5788.80, 8652.80, 9238.40, 9958.40, 9040.00, 3657.60, bomba, bomba, 2204.80, 8067.20, 4880.00, 9091.20, 358.40, 3906.40, 3843.20, 8422.40, 6147.20, 9004.80, 9209.60, 3388.80, 6608.00, 7977.60, 8198.40, 7427.20, 1452.80, 2444.80, 5884.80, 2099.20, 5577.60, 1644.80, 8851.20, 2320.00, 425.60
node_5, 2118.40, 7539.20, 8700.80, 7046.40, 8595.20, 2025.60, 3552.00, 7884.80, 4096.00, 5488.00, 1568.00, 2704.00, 3315.20, 976.00, 1590.40, 8726.40, 2361.60, 8217.60, 3712.00, 7846.40, 5139.20, 5409.60, 8560.00, 2128.00, 2432.00, 6592.00, 5448.00, 8649.60, 9344.00, 9600.00, 7606.40, 9734.40, 326.40, 4444.80, 1779.20, bomba, 5433.60, 7244.80, 160.00, bomba, 272.00, 9859.20, 9072.00, 4486.40, 1395.20, 985.60, 5682.70, 2240.00, 1942.40, 3321.60, 2246.40, 2268.80, 0.00, 4944.00, 2169.60, 6016.00, 4648.00, 9798.40, 6019.20, 3776.00, bomba, 9686.40, 8739.20, 4976.00, 246.40, 6025.60, 3072.00, 1808.00, 2718.40, 6489.60, 4883.20, 8960.00, 19.20, 3257.60, 6313.60, 6716.80, 3417.60, 6928.00, 9958.40, 4473.60, 1830.40, 4320.00, 2070.40, 1241.60, 6144.00, 1308.80, 1875.20, bomba, 2297.60, 9561.60, 4102.40, 9849.60, 5945.60, 1308.80, 1952.00, 7737.60, 9556.80, 1961.60, 1456.00
node_6, 326.40, bomba, 1376.00, 3904.00, 5056.00, 2025.60, 6419.20, 940.80, 8624.00, 9632.00, 7980.80, 6252.80, 3811.20, 7091.20, 9516.80, 3708.80, 573.60, 9878.40, bomba, 2000.00, 2694.40, 7894.40, 2691.20, 102.40, 4921.60, 3753.60, 4924.80, 2073.60, 3628.80, 5673.60, 3843.20, 8870.40, 6697.60, 4361.60, 1443.20, 5744.00, 1459.20, 6517.60, 4112.00, 8723.20, 7987.20, 3558.40, 7388.80, 3296.00, 8086.40, 7433.60, 1628.80, 7977.60, 8323.20, 1014.40, 340.80, 5545.60, 2038.40, 7574.40, 8681.60, 8448.00, 3686.40, 1216.00, 921.60, 3734.40, 6745.60, 2572.80, 9113.60, 9971.20, 4531.20, 8851.20, 9382.40, bomba, 8086.40, 9193.60, 5452.80, 5072.00, 2918.40, 1849.60, 4070.40, 6118.40, 38.40, 2467.20, 4146.40, 9868.80, 5062.40, 5180.80, 4732.80, 7497.60, 998.40, 1235.20, 7609.60, 499.20, 5865.60, 7644.80, 9584.00, 2393.60, 7347.20, 2043.20, 8934.40, 1808.00, 2259.20, bomba, 2107.20
node_7, 2886.40, 1920.00, 9884.80, 4963.20, 6550.40, 3552.00, 6419.20, 3094.40, 5907.20, bomba, 3897.60, 7315.20, 7312.00, 1334.40, bomba, 9785.60, 1859.20, 4099.20, 3744.00, 6422.40, 2902.40, 6268.80, 5708.80, 1379.20, 5324.80, 8396.80, 806.40, 620.80, 2294.40, 8297.60, 8947.20, 8521.60, 1548.80, 4857.60, 163.20, 4563.20, 1043.20, 1332.00, 192.00, 3262.40, 8553.60, 6374.40, 9008.00, 9123.20, 585.60, 8857.60, 7136.00, 3609.60, 3268.80, 5609.60, bomba, 8124.80, 2643.20, 4070.40, 2166.40, 9993.60, 630.40, 1720.80, 5004.80, 2588.80, 8259.20, 24.80, 3726.40, 5715.20, 3728.00, 428.80, 3139.20, 4076.80, 8006.40, 259.20, bomba, bomba, 9900.80, 656.00, 6739.20, 3756.80, 7955.20, 2032.00, 9052.80, 309.60, 707.20, 2796.80, 921.60, 1260.80, 8278.40, 2380.80, 3411.20, bomba, 2441.60, 9846.40, 3577.60, 5814.40, 671.20, 6476.80, 8851.20, 4140.80, 9160.80, 5033.60, 5433.60
node_8, 192.00, 4854.40, 7923.20, 9491.20, 3104.00, 7884.80, 940.80, 3094.40, bomba, bomba, 2387.20, 1222.40, 6169.60, 2409.60, 6119.20, 2902.40, 784.00, 3046.40, 4938.40, 5689.60, 3091.20, 7648.00, 6572.80, 6059.20, 76.80, 1891.20, 8371.20, 6163.20, 8416.00, 3840.00, 6188.80, 8102.40, 1964.80, 7516.80, 4681.60, 5984.00, 1334.40, 7532.80, 9984.00, 6771.20, 9104.00, 5788.80, 1779.20, 3657.60, 524.80, 6355.20, 5878.40, 6969.60, 8870.40, bomba, 2604.80, 2953.60, 7625.60, 3488.00, 4083.20, 947.20, 8918.40, 2294.40, 316.80, 4150.40, 5081.60, 825.60, 9868.80, 435.20, 5552.00, 2291.20, 9174.40, 3731.20, 7360.00, 9315.20, 9116.80, 7894.40, 8627.20, 2003.20, 9411.20, 3056.00, 9942.40, 7091.20, 4940.80, 186.40, 4336.00, 1904.00, 9350.40, bomba, 4492.80, 3070.40, 6428.80, 4915.20, 4435.20, 7264.00, 6361.60, 9977.60, 5830.40, 7750.40, 6224.00, bomba, 2048.00, 8988.80, 3696.00
node_9, 7209.60, 3091.20, 6624.00, 7705.60, 2115.20, 4096.00, 8624.00, 5907.20, bomba, 3027.20, 384.00, 5062.40, 8704.00, 3504.00, bomba, 6982.40, 4356.80, 4467.20, 7304.00, 2588.80, 3430.40, 9006.40, 5177.60, 140.80, 3843.20, 8694.40, 902.40, 2680.80, 5369.60, 4377.60, 220.80, 2070.40, 1603.20, 6400.00, 2032.00, 4073.60, 7740.80, 2569.60, 1078.40, 3433.60, 9161.60, 796.80, 7516.80, 2937.60, 1286.40, 60.80, 323.20, 7721.60, 1939.20, 2464.00, 4748.80, bomba, 9625.60, 8681.60, 1264.00, 528.00, 4240.00, 3763.20, 6422.40, 6272.00, 7292.80, 2496.00, 1734.40, 2806.40, bomba, 9286.40, 3449.60, 4848.00, 7264.00, 7043.20, bomba, 2224.00, 524.80, 4902.40, 5952.00, 7926.40, 784.00, 4131.20, 2281.60, 7833.60, 3856.00, 8982.40, 2388.80, bomba, 8992.00, 1459.20, 9878.40, 7785.60, 1305.60, 2249.60, 7144.00, 3766.40, 3881.60, 2089.60, 8118.40, 6054.40, 1959.20, 2536.00, bomba
